Naziv_proteina
ASU91021.1 |spike glycoprotein
ASU91027.1 |membrane protein
ASU91028.1 |nucleoprotein
ASU91032.1 |spike glycoprotein
ASU91038.1 |membrane protein
ASU91039.1 |nucleoprotein
ASU91043.1 |spike glycoprotein
ASU91049.1 |membrane protein
ASU91050.1 |nucleoprotein
ASU91054.1 |spike glycoprotein
ASU91060.1 |membrane protein
ASU91061.1 |nucleoprotein
ASU91065.1 |spike glycoprotein
ASU91071.1 |membrane protein
ASU91072.1 |nucleoprotein
ASU91076.1 |spike glycoprotein
ASU91082.1 |membrane protein
ASU91083.1 |nucleoprotein
ASU91087.1 |spike glycoprotein
ASU91093.1 |membrane protein
ASU91094.1 |nucleoprotein
ASU91098.1 |spike glycoprotein
ASU91104.1 |membrane protein
ASU91105.1 |nucleoprotein
ASU91109.1 |spike glycoprotein
ASU91115.1 |membrane protein
ASU91116.1 |nucleoprotein
ASU91120.1 |spike glycoprotein
ASU91126.1 |membrane protein
ASU91127.1 |nucleoprotein
ASU91131.1 |spike glycoprotein
ASU91137.1 |membrane protein
ASU91138.1 |nucleoprotein
ASU91142.1 |spike glycoprotein
ASU91148.1 |membrane protein
ASU91149.1 |nucleoprotein
ASU91153.1 |spike glycoprotein
ASU91159.1 |membrane protein
ASU91160.1 |nucleoprotein
ASU91164.1 |spike glycoprotein
ASU91170.1 |membrane protein
ASU91171.1 |nucleoprotein
ASU91175.1 |spike glycoprotein
ASU91181.1 |membrane protein
ASU91182.1 |nucleoprotein
ASU91186.1 |spike glycoprotein
ASU91192.1 |membrane protein
ASU91193.1 |nucleoprotein
ASU91197.1 |spike glycoprotein
ASU91203.1 |membrane protein
ASU91204.1 |nucleoprotein
ASU91208.1 |spike glycoprotein
ASU91214.1 |membrane protein
ASU91215.1 |nucleoprotein
ASU91219.1 |spike glycoprotein
ASU91225.1 |membrane protein
ASU91226.1 |nucleoprotein
ASU91230.1 |spike glycoprotein
ASU91236.1 |membrane protein
ASU91237.1 |nucleoprotein
ASU91241.1 |spike glycoprotein
ASU91247.1 |membrane protein
ASU91248.1 |nucleoprotein
ASU91252.1 |spike glycoprotein
ASU91257.1 |membrane protein
ASU91258.1 |nucleoprotein
ASU91262.1 |spike glycoprotein
ASU91268.1 |membrane protein
ASU91269.1 |nucleoprotein
ASU91273.1 |spike glycoprotein
ASU91279.1 |membrane protein
ASU91280.1 |nucleoprotein
ASU91290.1 |membrane protein
ASU91291.1 |nucleoprotein
ASU91295.1 |spike glycoprotein
ASU91300.1 |membrane protein
ASU91301.1 |nucleoprotein
ASU91305.1 |spike glycoprotein
ASU91310.1 |membrane protein
ASU91311.1 |nucleoprotein
ASU91315.1 |spike glycoprotein
ASU91320.1 |membrane protein
ASU91321.1 |nucleoprotein
ASU91325.1 |spike glycoprotein
ASU91330.1 |membrane protein
ASU91331.1 |nucleoprotein
ANI69830.1 |membrane protein
ANI69831.1 |nucleoprotein
ANI69841.1 |membrane protein
ANI69842.1 |nucleoprotein
ANI69852.1 |membrane protein
ANI69853.1 |nucleoprotein
ANI69863.1 |membrane protein
ANI69864.1 |nucleoprotein
ANI69873.1 |membrane protein
ANI69874.1 |nucleoprotein
ANI69884.1 |membrane protein
ANI69885.1 |nucleoprotein
ANI69895.1 |membrane protein
ANI69896.1 |nucleoprotein
ANI69906.1 |membrane protein
ANI69907.1 |nucleoprotein
ANI69917.1 |membrane protein
ANI69918.1 |nucleoprotein
ANI69928.1 |membrane protein
ANI69929.1 |nucleoprotein
ANC28651.1 |membrane protein
ANC28652.1 |nucleocapsid protein
ANC28662.1 |membrane protein
ANC28663.1 |nucleocapsid protein
ANC28673.1 |membrane protein
ANC28674.1 |nucleocapsid protein
ANC28684.1 |membrane protein
ANC28685.1 |nucleocapsid protein
ANC28695.1 |membrane protein
ANC28696.1 |nucleocapsid protein
ANC28706.1 |membrane protein
ANC28707.1 |nucleocapsid protein
ANC28717.1 |membrane protein
ANC28718.1 |nucleocapsid protein
ALT66876.1 |membrane protein
ALT66877.1 |nucleoprotein
ALT66886.1 |membrane protein
ALT66887.1 |nucleoprotein
ALA49347.1 |membrane protein
ALA49348.1 |nucleocapsid protein
ALA49358.1 |membrane protein
ALA49359.1 |nucleocapsid protein
ALA49369.1 |membrane protein
ALA49370.1 |nucleocapsid protein
ALA49380.1 |membrane protein
ALA49381.1 |nucleocapsid protein
ALA49391.1 |membrane protein
ALA49392.1 |nucleocapsid protein
ALA49402.1 |membrane protein
ALA49403.1 |nucleocapsid protein
ALA49413.1 |membrane protein
ALA49414.1 |nucleocapsid protein
ALA49424.1 |membrane protein
ALA49425.1 |nucleocapsid protein
ALA49435.1 |membrane protein
ALA49436.1 |nucleocapsid protein
ALA49446.1 |membrane protein
ALA49447.1 |nucleocapsid protein
ALA49457.1 |membrane protein
ALA49458.1 |nucleocapsid protein
